description,industry,level,size,line_code,value,Unit,Footnotes
Total number of businesses,Education  training,1,total,,1182,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Health care  social assistance,1,total,,2925,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Arts  recreation services,1,total,,567,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,Other services,1,total,,1383,Number of businesses,1 and 2 and 3 and 6
Total number of businesses,total,0,total,,48990,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,total,0,619 employees,C020101,756,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business not important,total,0,2049 employees,C020101,231,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business not important,total,0,5099 employees,C020101,45,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business not important,total,0,100 employees,C020101,42,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business not important,Agriculture forestry  fishing,1,total,C020101,159,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Agriculture,2,total,C020101,117,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Commercial fishing,2,total,C020101,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Forestry  logging,2,total,C020101,18,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Agriculture forestry  fishing support services,2,total,C020101,21,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Mining,1,total,C020101,9,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business not important,Manufacturing,1,total,C020101,33,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Food beverage  tobacco,2,total,C020101,12,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Textile clothing footwear  leather,2,total,C020101,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Wood  paper product,2,total,C020101,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Printing publishing  recorded media,2,total,C020101,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Petroleum coal chemical  associated product,2,total,C020101,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Nonmetallic mineral product,2,total,C020101,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Metal product,2,total,C020101,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Transport and industrial machinery  equipment,2,total,C020101,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Other machinery  equipment,2,total,C020101,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Other manufacturing,2,total,C020101,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Electricity gas water  waste services,1,total,C020101,3,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business not important,Construction,1,total,C020101,48,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Wholesale trade,1,total,C020101,36,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Machinery  equipment wholesaling,2,total,C020101,33,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Other wholesale trade,2,total,C020101,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Retail trade,1,total,C020101,54,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Accommodation  food services,1,total,C020101,258,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Transport postal  warehousing,1,total,C020101,18,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Information media  telecommunications,1,total,C020101,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Publishing,2,total,C020101,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Motion picture,2,total,C020101,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Telecommunications,2,total,C020101,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Financial  insurance services,1,total,C020101,57,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Finance,2,total,C020101,30,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Insurance,2,total,C020101,0,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Auxiliary,2,total,C020101,30,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Rental hiring  real estate services,1,total,C020101,30,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Professional scientific  technical services,1,total,C020101,42,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Computer systems design,2,total,C020101,12,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Other professional scientific,2,total,C020101,33,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Administrative  support services,1,total,C020101,78,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Education  training,1,total,C020101,63,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Health care  social assistance,1,total,C020101,132,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Arts  recreation services,1,total,C020101,27,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,Other services,1,total,C020101,21,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business not important,total,0,total,C020101,1074,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,total,0,619 employees,C020102,1425,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business a little important,total,0,2049 employees,C020102,375,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business a little important,total,0,5099 employees,C020102,108,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business a little important,total,0,100 employees,C020102,78,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business a little important,Agriculture forestry  fishing,1,total,C020102,183,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Agriculture,2,total,C020102,96,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Commercial fishing,2,total,C020102,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Forestry  logging,2,total,C020102,21,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Agriculture forestry  fishing support services,2,total,C020102,60,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Mining,1,total,C020102,6,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business a little important,Manufacturing,1,total,C020102,183,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Food beverage  tobacco,2,total,C020102,27,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Textile clothing footwear  leather,2,total,C020102,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Wood  paper product,2,total,C020102,12,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Printing publishing  recorded media,2,total,C020102,9,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Petroleum coal chemical  associated product,2,total,C020102,9,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Nonmetallic mineral product,2,total,C020102,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Metal product,2,total,C020102,12,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Transport and industrial machinery  equipment,2,total,C020102,60,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Other machinery  equipment,2,total,C020102,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Other manufacturing,2,total,C020102,36,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Electricity gas water  waste services,1,total,C020102,9,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business a little important,Construction,1,total,C020102,243,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Wholesale trade,1,total,C020102,75,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Machinery  equipment wholesaling,2,total,C020102,18,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Other wholesale trade,2,total,C020102,54,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Retail trade,1,total,C020102,87,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Accommodation  food services,1,total,C020102,186,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Transport postal  warehousing,1,total,C020102,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Information media  telecommunications,1,total,C020102,21,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Publishing,2,total,C020102,6,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Motion picture,2,total,C020102,12,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Telecommunications,2,total,C020102,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Financial  insurance services,1,total,C020102,45,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Finance,2,total,C020102,9,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Insurance,2,total,C020102,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Auxiliary,2,total,C020102,33,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Rental hiring  real estate services,1,total,C020102,72,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Professional scientific  technical services,1,total,C020102,252,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Computer systems design,2,total,C020102,45,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Other professional scientific,2,total,C020102,213,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Administrative  support services,1,total,C020102,138,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Education  training,1,total,C020102,75,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Health care  social assistance,1,total,C020102,279,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Arts  recreation services,1,total,C020102,36,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,Other services,1,total,C020102,84,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business a little important,total,0,total,C020102,1986,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,total,0,619 employees,C020103,7059,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business moderately important,total,0,2049 employees,C020103,1344,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business moderately important,total,0,5099 employees,C020103,375,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business moderately important,total,0,100 employees,C020103,309,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business moderately important,Agriculture forestry  fishing,1,total,C020103,462,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Agriculture,2,total,C020103,276,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Commercial fishing,2,total,C020103,15,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Forestry  logging,2,total,C020103,27,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Agriculture forestry  fishing support services,2,total,C020103,144,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Mining,1,total,C020103,12,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business moderately important,Manufacturing,1,total,C020103,822,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Food beverage  tobacco,2,total,C020103,75,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Textile clothing footwear  leather,2,total,C020103,48,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Wood  paper product,2,total,C020103,102,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Printing publishing  recorded media,2,total,C020103,39,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Petroleum coal chemical  associated product,2,total,C020103,63,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Nonmetallic mineral product,2,total,C020103,18,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Metal product,2,total,C020103,207,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Transport and industrial machinery  equipment,2,total,C020103,183,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Other machinery  equipment,2,total,C020103,51,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Other manufacturing,2,total,C020103,39,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Electricity gas water  waste services,1,total,C020103,39,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business moderately important,Construction,1,total,C020103,1212,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Wholesale trade,1,total,C020103,543,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Machinery  equipment wholesaling,2,total,C020103,129,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Other wholesale trade,2,total,C020103,414,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Retail trade,1,total,C020103,720,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Accommodation  food services,1,total,C020103,1509,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Transport postal  warehousing,1,total,C020103,393,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Information media  telecommunications,1,total,C020103,93,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Publishing,2,total,C020103,42,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Motion picture,2,total,C020103,24,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Telecommunications,2,total,C020103,24,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Financial  insurance services,1,total,C020103,135,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Finance,2,total,C020103,39,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Insurance,2,total,C020103,3,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Auxiliary,2,total,C020103,93,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Rental hiring  real estate services,1,total,C020103,171,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Professional scientific  technical services,1,total,C020103,1479,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Computer systems design,2,total,C020103,279,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Other professional scientific,2,total,C020103,1203,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Administrative  support services,1,total,C020103,231,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Education  training,1,total,C020103,279,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Health care  social assistance,1,total,C020103,645,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Arts  recreation services,1,total,C020103,120,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,Other services,1,total,C020103,216,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business moderately important,total,0,total,C020103,9087,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,total,0,619 employees,C020104,25158,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business very important,total,0,2049 employees,C020104,6606,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business very important,total,0,5099 employees,C020104,1956,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business very important,total,0,100 employees,C020104,1638,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business very important,Agriculture forestry  fishing,1,total,C020104,2532,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Agriculture,2,total,C020104,1668,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Commercial fishing,2,total,C020104,30,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Forestry  logging,2,total,C020104,174,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Agriculture forestry  fishing support services,2,total,C020104,663,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Mining,1,total,C020104,90,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business very important,Manufacturing,1,total,C020104,4302,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Food beverage  tobacco,2,total,C020104,1101,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Textile clothing footwear  leather,2,total,C020104,192,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Wood  paper product,2,total,C020104,405,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Printing publishing  recorded media,2,total,C020104,144,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Petroleum coal chemical  associated product,2,total,C020104,363,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Nonmetallic mineral product,2,total,C020104,183,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Metal product,2,total,C020104,762,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Transport and industrial machinery  equipment,2,total,C020104,684,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Other machinery  equipment,2,total,C020104,177,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Other manufacturing,2,total,C020104,291,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Electricity gas water  waste services,1,total,C020104,153,Number of businesses,1 and 2 and 3 and 5 and 6
Importance of pricing of goods and services sold by this business very important,Construction,1,total,C020104,5793,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Wholesale trade,1,total,C020104,2517,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Machinery  equipment wholesaling,2,total,C020104,768,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Other wholesale trade,2,total,C020104,1749,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Retail trade,1,total,C020104,4200,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Accommodation  food services,1,total,C020104,4674,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Transport postal  warehousing,1,total,C020104,1224,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Information media  telecommunications,1,total,C020104,324,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Publishing,2,total,C020104,132,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Motion picture,2,total,C020104,108,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Telecommunications,2,total,C020104,81,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Financial  insurance services,1,total,C020104,432,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Finance,2,total,C020104,120,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Insurance,2,total,C020104,33,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Auxiliary,2,total,C020104,282,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Rental hiring  real estate services,1,total,C020104,690,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Professional scientific  technical services,1,total,C020104,3282,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Computer systems design,2,total,C020104,621,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Other professional scientific,2,total,C020104,2664,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Administrative  support services,1,total,C020104,1350,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Education  training,1,total,C020104,714,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Health care  social assistance,1,total,C020104,1722,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Arts  recreation services,1,total,C020104,375,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,Other services,1,total,C020104,975,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business very important,total,0,total,C020104,35355,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,total,0,619 employees,C020105,1167,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business dont know,total,0,2049 employees,C020105,237,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business dont know,total,0,5099 employees,C020105,51,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business dont know,total,0,100 employees,C020105,39,Number of businesses,1 and 2 and 3 and 4 and 6
Importance of pricing of goods and services sold by this business dont know,Agriculture forestry  fishing,1,total,C020105,417,Number of businesses,1 and 2 and 3 and 6
Importance of pricing of goods and services sold by this business dont know,Agriculture,2,total,C020105,297,Number of businesses,1 and 2 and 3 and 6
